"text","text_en","cmp_code","eu_code"
"The UK’s current climate targets do not reflect the urgency of the climate crisis or what is required by global justice.",NA,"501",NA
"We would push the government to transition to a zero-carbon society as soon as possible, and more than a decade ahead of 2050.",NA,"416.2",NA
"By diverting investment away from renewables, nuclear power is a distraction and a waste of time and money.",NA,"416.2",NA
"Instead with investment in interconnectors and grid level storage, it’s possible to decarbonise the energy system before 2030.",NA,"416.2",NA
"Acting with more ambition will deliver: a zerocarbon electricity supply;",NA,"416.2",NA
"security of supply over short and long periods of low generation;",NA,"416.2",NA
"sufficient electricity for all cars and vans to be electric,",NA,"416.2",NA
"for all homes and buildings to stop using fossil fuels,",NA,"416.2",NA
"and for most industry to transition to clean energy.",NA,"416.2",NA
"Greens will also prioritise investing in innovation to eliminate residual uses of fossil fuels in the economy, such as for HGVs and mobile machinery.",NA,"416.2",NA
"Community Energy",NA,"H",NA
"We are committed to the energy sector being under local democratic control as far as is possible.",NA,"202.1",NA
"There is no reason why communities cannot be investors in everything from local area heat networks to offshore wind.",NA,"301",NA
"Government will have failed if the infrastructure for sustainable energy generation is primarily in private hands.",NA,"413",NA
"We will push for: A minimum threshold of community ownership in all sustainable energy infrastructure.",NA,"301",NA
"The removal of regulatory barriers to community energy.",NA,"301",NA
"Investment in community energy by regional investment banks.",NA,"301",NA
"A just transition to a zero-carbon economy",NA,"H",NA
"Moving towards a green economy is inevitable if we want a liveable future.",NA,"416.2",NA
"The big questions are: how smoothly we get there, how fast, who pays and who benefits?",NA,"416.2",NA
"Greens are clear that the transition must benefit communities and not leave anyone stranded without jobs, as carbonintensive industries shut down and we end fossil fuel extraction.",NA,"416.2",NA
"We need to learn the lessons of the 1980s when coal mining and other heavy industries were shut down.",NA,"416.2",NA
"There needs to be a just transition, led by workers and unions, that sees communities reap the rewards of the shift to green energy.",NA,"701",NA
"As part of this, we will push the next government to establish an Offshore Energy and Skills Passport so that workers can transition more easily between offshore energy industries.",NA,"411",NA
"Elected Greens will push for: Investment in skills and training (including retrofitting) reaching £4bn per year, allowing workers to be prepared for the transition and the new roles they can take on.",NA,"411",NA
"A minimum threshold of community ownership in all onshore sustainable energy infrastructure in the locality.",NA,"301",NA
"A regional strategy building on industrial strengths across the country to maximise the contribution to the transition from existing jobs and businesses.",NA,"301",NA
"Sourcing renewable energy",NA,"H",NA
"We are in the middle of an exciting revolution in the way we produce and use energy.",NA,"416.2",NA
"Green MPs will aim to introduce new support and incentives to directly accelerate wind energy development, consulting with the sector on the best mechanisms, including increasing the maximum contracts for difference strike price so that it more accurately reflects supply chain costs and leads to the contracting of new capacity, and equipping ports and supply chains to better support floating offshore wind.",NA,"416.2",NA
"This will pave the way for wind to provide around 70% of the UK’s electricity by 2030.",NA,"416.2",NA
"Our targets are to achieve 80GW of offshore wind, 53 GW of onshore wind, and 100 GW of solar by 2035.",NA,"416.2",NA
"We would introduce new support for solar and other renewable energies, including marine, hydro-power and geothermal, to provide much of the remainder of the UK’s energy supply by 2030",NA,"416.2",NA
"and support the solar roof top revolution by mandating the use of solar panels on all new homes, where possible and appropriate.",NA,"416.2",NA
"This will help generate the conditions for a regulatory sandbox, with the industry working alongside house builders to trial new innovations,",NA,"403",NA
