timestamp_utc,cache_key,model,subdir
2026-08-31T20:08:33.223876+00:00,2024_ld_framed_gpt-5_run2,gpt-5,summaries
2026-08-31T20:09:24.834928+00:00,2024_ld_framed_gpt-5_run3,gpt-5,summaries
2026-08-31T20:10:19.550043+00:00,2024_ld_framed_gpt-5_run4,gpt-5,summaries
2026-08-31T20:12:00.930018+00:00,2024_ld_framed_gpt-5_run5,gpt-5,summaries
2026-08-31T20:12:46.702648+00:00,2024_ld_distorted_gpt-5_run1,gpt-5,summaries
2026-08-31T20:13:17.248242+00:00,2024_ld_distorted_gpt-5_run2,gpt-5,summaries
2026-08-31T20:13:59.364364+00:00,2024_ld_distorted_gpt-5_run3,gpt-5,summaries
2026-08-31T20:14:37.621269+00:00,2024_ld_distorted_gpt-5_run4,gpt-5,summaries
2026-08-31T20:14:55.408982+00:00,2024_ld_distorted_gpt-5_run5,gpt-5,summaries
2026-08-31T20:15:38.392639+00:00,2024_ld_anonymised_gpt-5_run1,gpt-5,summaries
2026-08-31T20:16:38.091984+00:00,2024_ld_anonymised_gpt-5_run2,gpt-5,summaries
2026-08-31T20:17:51.038905+00:00,2024_ld_anonymised_gpt-5_run3,gpt-5,summaries
2026-08-31T20:18:53.537969+00:00,2024_ld_anonymised_gpt-5_run4,gpt-5,summaries
2026-08-31T20:20:01.003055+00:00,2024_ld_anonymised_gpt-5_run5,gpt-5,summaries
2026-08-31T20:21:47.984527+00:00,extract_2024_ld_minimal_gpt-5_run1,gpt-5,extractions
2026-08-31T20:23:26.889875+00:00,extract_2024_ld_minimal_gpt-5_run2,gpt-5,extractions
2026-08-31T20:24:44.470988+00:00,extract_2024_ld_minimal_gpt-5_run3,gpt-5,extractions
2026-08-31T20:26:28.028304+00:00,extract_2024_ld_minimal_gpt-5_run4,gpt-5,extractions
2026-08-31T20:27:50.390714+00:00,extract_2024_ld_minimal_gpt-5_run5,gpt-5,extractions
2026-08-31T20:30:42.825064+00:00,extract_2024_ld_neutral_gpt-5_run1,gpt-5,extractions
2026-08-31T20:33:12.692505+00:00,extract_2024_ld_neutral_gpt-5_run2,gpt-5,extractions
